Category,Value,Text
Promid,4996,Carnegie Investment Bank AB (SE )
Promid,66456,Carrefour Banque (FR )
Promid,90020,Cartesia S.A.S. (FR )
Promid,16404,"Cartesio Inversiones, S.G.I.I.C. ,SA (ES )"
Promid,18937,Cassa depositi e prestiti S.p.A. (IT )
Promid,88560,Castellain Capital LLP (GB )
Promid,99953,Castlefield Fund Partners Limited (GB )
Promid,67903,Catam Asset Management AG (LI )
Promid,72253,Catella Real Estate AG (DE )
Promid,99857,Cathay Capital Private Equity (FR )
Promid,18884,CB Richard Ellis Investors Holdings (NL )
Promid,18633,CBH - Compagnie Bancaire Helvétique (CH )
Promid,11126,CBRE Clarion Securities LLC (US )
Promid,21479,CBRE Collective Investors Limited (GB )
Promid,21476,CBRE Global Investment Partners S (LU )
Promid,13970,CBRE Global Investors Lux S.à r.l. (LU )
Promid,72448,CBT Gestion (FR )
Promid,78399,CCA Life Settlements (LU )
Promid,69893,Centris Capital AG (AT )
Promid,72681,Cerberus Lux GP S.à r.l. (LU )
Promid,83657,"Cerberus LUX, LLC (US )"
Promid,5548,CFM Indosuez Wealth (MC )
Promid,74973,CFO SIM S.p.A. (IT )
Promid,16925,CFSPAI Malta Co Limited (MT )
